gene	amplitude	phase	mean	r2	p_value
B3GNT9	-0.19418164859102957	-0.2693034155705626	2.078926782584493	0.6190994378370338	0.012991289516595894
B4GALT4-AS1	0.2929341341805041	-1.8870562571211624	1.204678039606233	0.37943485917770814	0.11682699146173359
B4GAT1	-0.1421973617879356	-0.36023301729549834	4.149498731739539	0.3254444469777279	0.17005121846084115
B9D2	0.3115268768037714	0.7104343980716086	2.473691691829456	0.33694567263904474	0.1573877808910511
BACE1-AS	-0.27686117065535926	0.7448988321838499	1.2306068149745708	0.4125786051903514	0.09125862495531822
BACE2	-0.11560805423345227	0.8070933366467107	2.8151209984394865	0.7307345515820997	0.002727801924839679
BAIAP3	-0.17401307743505845	-0.5856825414227996	2.2131188803205446	0.38353805835660615	0.1133909030982696
BANK1	-0.19101782571516449	-0.462467438155845	0.5865262678079174	0.5988645400468595	0.01639871230745349
BAZ2B	0.1018344127398587	0.6451748836846933	2.137076791681315	0.39264355658660977	0.10604651347614835
BBS10	0.15126176219896798	1.6177717327622916	2.8114186346002663	0.44987611461199273	0.06793166471027468
BCAS1	-0.19127761575300617	-1.1609156098873468	0.4875599227806446	0.3164753326886164	0.18046536523913415
BCAT2	-0.1412610657363112	-0.03097801793671374	4.350142987755517	0.5436179552569789	0.029307479787196167
BCKDHA	-0.14071401659497276	-0.8525140445857369	4.981919073749603	0.35984695045646764	0.1343622241279735
BCL10	0.12056486589253851	-0.9263940395687035	3.7476008610734386	0.6119530318611293	0.014124703031159092
BCL2A1	0.35412635246400254	-1.2462651440659587	0.8134928205372384	0.41416709630702164	0.09015336096846882
BCL2L1	-0.20277019017469153	0.7458712495323391	6.66241164154935	0.8960569777200541	3.7633883103294075e-05
BCL7C	-0.1269266622549207	-0.06367669419372615	5.7181494276242235	0.36228955603539614	0.13207051861754393
BCO2	-0.1299573762628553	1.0874276869339592	0.5152836183359611	0.3790527891783184	0.1171510169568486
BEAN1-AS1	-0.2878073021320041	0.7286750352810739	0.2654798021516639	0.39378679154584795	0.10515121042781805
BIRC5	0.16071712023944862	0.49474050731286157	6.102049321684255	0.3722762562387216	0.12301512238452905
BIRC6	0.10118590433888916	0.33767098401623996	3.381582604801517	0.38432037404124975	0.11274479980605434
BISPR,MVB12A	-0.13888763381826874	0.4771092395247237	4.795043785035496	0.4510698019716203	0.06727087146387012
BLID	0.21402427926415962	1.1842079797137908	0.18301163590007224	0.3477724359310762	0.14614910813011495
BLNK	0.11961295213692338	1.0471975549142036	0.05980647583563104	0.3834430566685887	0.11346955928789304
BLVRB	-0.11671486562900114	0.24826385986545763	7.172952802770216	0.40834788501877495	0.0942538059548994
BMP6	0.18099250635661354	0.569792204452667	1.5687268805319299	0.3640348699004353	0.13045173750812067
BMP8A	0.15397019245162796	1.4182095193080158	1.1253042154426018	0.3306915231130352	0.16417932450287942
BMPR1B	0.1607906530008518	1.5285686051460892	2.3043479349083316	0.563243731451943	0.02404784483961564
BNIPL	0.30791581309687927	0.4621060164386022	1.167248401788213	0.4492930679714472	0.0682562531366695
BORA	0.26157265472176133	-0.5936076562433028	2.15547823709	0.35191615609906957	0.14201701420870438
BRAF	0.11266630347894317	1.568728619319346	2.671053120253236	0.30036630184811874	0.20040946874653165
BRI3	-0.10932565377669787	-0.14013166316413958	7.447747040475464	0.43284425681705363	0.07792207412414254
BRIX1	0.11252197005689446	-1.7945034849556967	5.750501556513034	0.34778933141478885	0.14613207241076553
BRPF3	0.11405246693421206	0.5148511378815392	4.577154298105892	0.31618035252867893	0.18081609528945208
BRWD1-IT2	0.22988515314607033	-0.3005426482092689	0.2324878012354464	0.3644877067840362	0.13003426326289613
BTBD11	0.13432183996891842	1.3533214512022766	0.45159247580666134	0.633345765455781	0.010943473054490171
BTG3	0.10191253898745033	-0.3949038435249937	4.348334539761059	0.3529450620905511	0.1410052234617558
BUB1	0.20952628542313123	0.21196930308858486	5.097966681391593	0.48969880203744476	0.048441730076325684
BUB1B,BUB1B-PAK6,PAK6	0.14402094294573878	0.19672070308303735	4.165203311396472	0.3980733083470511	0.10184652345321266
C11orf42	0.27140341666572626	-0.20577778788517104	0.23690938730009814	0.3215729216623908	0.174487484610084
C11orf74	0.16479088113984877	-1.4789667253860506	4.71203812680861	0.5165869739391664	0.037969298142040864
C11orf80,RCE1	-0.10117436779640268	0.2532418736327329	4.694987273664844	0.3198611466705956	0.17647741429515795
C11orf86	-0.32307894621120176	0.9940675897575295	0.9235877191944605	0.4045719480867437	0.09699108353725583
C14orf178	0.5622485686135394	1.9535731698805456	1.4978172073365816	0.44278452991994555	0.07196216884618512
C14orf80	0.2526183715423469	0.5567424685924325	3.6360765919219773	0.5571299627830746	0.025600199165792814
C15orf62	-0.25609477653869517	0.49381291861842924	2.9422972173787696	0.34822965918538296	0.14568863420272848
C16orf89	0.2575332078134019	1.3727277998814513	0.3712296776823744	0.5354385294751621	0.03174638982870415
C16orf91	0.17655279323396295	1.6608331401509178	3.5826709785971222	0.5606055133530015	0.0247084620832404
C16orf95	0.2839055263675812	-1.120063865876674	1.9826358869590222	0.5058060592150835	0.04193130446657578
C17orf97	-0.2028595247629735	0.7512624378522675	1.0437537692118815	0.30014047737327654	0.20070072573259357
C19orf53	-0.13595111810161517	0.45604396174705447	6.5837313033939955	0.4177211421446112	0.08771817683504246
C19orf71	-0.363542521511695	0.03868702728686183	2.7915870721480798	0.4191894980291656	0.08672714944890303
C19orf81	-0.3854205534431028	0.03494861541574043	2.9779911566170134	0.4983732669231792	0.04484489684633419
C1GALT1C1L	0.2399096481237774	0.46402220883905654	3.131874463196177	0.4043559813079407	0.09714949173176712
C1QTNF2	0.16536788198396943	1.7350570345465457	2.057847641335632	0.429852154413347	0.07978912348163814
C1S	0.21822607667636365	-1.6335215037195177	0.9953355134179133	0.3206183259205312	0.1755950323318871
C1orf105	0.18735895933561572	-1.3911664085938833	0.12626462361638643	0.43142917106354106	0.07880079212882962
C1orf109	0.20940425443871197	-0.831619701735809	3.1129971724858763	0.6233380310890699	0.012353299621937985
C1orf52	0.1326024568297913	-1.6093311761655371	3.3361394664856614	0.6873691646548463	0.005341252999457757
