gene	0	4	8	12	16	20	24	28	32	36	40	44
PLA2G5	0.108903	0.431282	0.0919975	0.163399	0.341983	0.168402	0.0	0.221692	0.445473	0.828872	0.960722	0.33894
PLA2G2F	0.0	0.0	0.0618196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBXN10	0.273981	0.0452097	0.260381	0.128464	0.107546	0.0529587	0.285875	0.0929567	0.200131	0.182464	0.258966	0.142119
VWA5B1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032798	0.0	0.0
FAM43B	3.25061	3.06505	4.24977	5.45788	3.35397	3.11168	2.65595	4.41148	4.1609	3.47549	3.56015	3.29201
CDA	1.4626	1.60896	1.23556	1.09725	0.459295	2.07322	1.13044	0.827057	0.854693	0.185534	0.61442	0.505786
MIR6084,PINK1	77.3085	18.0041	21.5631	20.9133	17.0177	98.7626	59.2459	17.594	70.9112	19.164	16.8383	17.6476
LOC100506801	0.155313	0.205026	0.262407	0.116517	0.487724	0.0600421	0.0	0.474254	0.136139	0.0591054	0.293603	0.0
NBPF3	5.59488	5.58604	4.79526	5.10123	4.40091	5.23084	4.53814	4.60039	4.36791	5.20485	3.70382	4.84663
ALPL	9.59026	4.83378	7.51233	6.73684	5.63989	5.5275	5.49856	5.916	7.4887	5.64033	4.94436	7.59696
LDLRAD2	0.0	0.127603	0.204512	0.0362587	0.0913778	0.0	0.134479	0.032796	0.112973	0.0	0.0610867	0.05026
CELA3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CELA3A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00339	10.2363	10.0464	9.75747	8.69423	9.50529	12.3298	8.75667	9.28691	12.5002	11.6755	9.33876	13.9537
CDC42	159.256	138.137	145.383	154.914	147.76	154.681	160.999	145.811	149.044	141.837	143.437	144.0
MIR4418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZBTB40	9.07242	8.43204	8.23112	8.44684	7.83299	7.96881	8.27388	8.46417	8.1874	8.47073	9.52347	8.91789
EPHA8	0.0	0.0	0.0	0.0288133	0.0	0.0862942	0.0712432	0.0	0.0	0.254844	0.0	0.115789
C1QA	0.205866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1QC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1QB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHB2	5.47114	4.64232	4.50699	4.89802	4.29559	4.1513	3.54526	4.08144	2.91911	3.56926	3.34045	2.91309
MIR4684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KDM1A	55.1416	47.5682	50.2395	50.855	46.235	54.0022	52.7946	44.1534	46.1555	47.8342	44.6177	48.0864
MIR3115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF436-AS1	2.14248	2.41461	3.16305	1.86655	1.86647	2.29774	2.4999	3.75464	2.4636	2.68272	3.35334	3.72839
LOC101928163	0.365168	0.482053	0.771205	1.09581	1.2614	0.705847	0.846712	0.991159	0.74687	1.11174	1.03547	0.18942
MDS2	0.223626	1.18082	1.13347	0.167766	0.140449	1.21031	0.207408	0.606978	0.392038	0.510613	1.12731	0.927993
RPL11	1844.38	1668.47	1854.86	1972.21	1690.08	1886.06	1743.18	1780.37	1741.4	1811.15	1829.51	1852.79
TCEB3	21.0883	19.6867	19.1598	21.5894	20.4156	20.5988	19.5589	19.2378	18.587	20.2775	19.749	18.6545
PITHD1	25.5691	19.8751	25.6568	22.9796	21.9279	23.9841	27.6872	27.4786	25.4084	25.0918	24.6994	28.2768
LYPLA2	70.378	59.5412	73.0297	74.0924	67.6447	68.4439	61.6676	67.1045	57.4861	63.4302	62.1516	67.4999
MIR378F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PNRC2	57.5456	49.6906	49.8086	55.8539	51.1004	54.0224	55.4576	50.9155	53.8724	55.398	56.2023	51.838
