tracking_id	DMSO_CT00_0	DMSO_CT24_0	DMSO_CT04_0	DMSO_CT28_0	DMSO_CT08_0	DMSO_CT32_0	DMSO_CT12_0	DMSO_CT36_0	DMSO_CT16_0	DMSO_CT40_0	DMSO_CT20_0	DMSO_CT44_0
XLOC_004870	0.177195	0.219125	0	0.0801586	0.149688	0.069031	0	0.044955	0.185479	0.0372186	0	0.122552
XLOC_004871	90.3603	71.1624	76.3045	81.8845	79.5179	71.8955	91.4565	93.3456	72.8661	78.4109	78.0474	82.7127
XLOC_004872	0.312738	0.0725142	0.10321	0.212212	0.462334	0.274129	0.293273	0.178521	0.245519	0	0.423151	0.0811115
XLOC_004873	15.2877	13.0089	11.3641	12.5894	13.7296	11.7958	16.9251	15.1377	14.1226	14.1225	14.5169	12.3185
XLOC_004874	63.9224	52.9451	55.3046	53.231	61.6611	55.9993	61.3022	59.8716	53.9203	54.8702	57.6438	59.7739
XLOC_004875	13.7097	14.4535	15.8846	18.7397	17.7473	17.8674	17.6106	20.1186	14.9908	17.5886	13.8792	19.9531
XLOC_004876	13.2555	9.99094	11.7305	10.728	10.2495	9.12152	12.4272	9.45584	12.0211	9.49099	10.8254	8.84661
XLOC_004877	39.4394	32.6267	31.754	32.9122	35.524	35.906	44.3229	34.8981	34.2892	31.6666	32.7845	36.7971
XLOC_004878	0.860016	1.59529	1.51372	2.52883	1.21086	1.84273	1.93557	2.1819	1.44036	1.80641	2.43812	2.67664
XLOC_004879	8.43333	7.82171	10.9144	9.42538	7.68296	11.2091	8.31161	8.55828	6.95824	7.81485	8.05465	10.8077
XLOC_004880	16.4726	21.2194	17.1814	21.0445	16.5784	20.1433	18.9945	21.3602	15.7739	20.8239	18.1609	21.6254
XLOC_004881	0.475221	0.440756	0.0896188	0.1382	0.1147	0.198359	0.101861	0.361696	0.426376	0.171115	0.367428	0.140861
XLOC_004882	17.7865	14.9881	16.3874	14.8101	16.2729	15.2744	14.144	15.8871	14.3078	13.3654	14.3167	13.2619
XLOC_004883	6.98912	6.48224	5.96058	6.03006	6.65488	6.27366	6.59466	6.74535	7.16504	7.00715	6.61084	7.99829
XLOC_004884	10.3163	11.274	10.038	10.9548	9.04221	10.7126	10.7991	14.3766	11.563	13.5855	9.89051	12.5158
XLOC_004885	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004886	36.7252	40.4735	34.9857	39.008	40.2506	35.9008	48.4899	46.3802	42.0116	40.2866	40.353	37.1775
